guess,yellow_one,yellow_two,yellow_three,yellow_four,yellow_five,green_one,green_two,green_three,green_four,green_five
aahed,0.8064794816414687,0.31965442764578833,0.04406047516198704,0.0021598272138228943,0.0,0.3365010799136069,0.04665226781857452,0.0012958963282937365,0.0,0.0
aalii,0.7114470842332613,0.22289416846652269,0.017710583153347732,0.0,0.0,0.27818574514038874,0.0345572354211663,0.0008639308855291577,0.0,0.0
aargh,0.7464362850971922,0.26652267818574515,0.03412526997840173,0.00043196544276457883,0.0,0.3127429805615551,0.039308855291576676,0.0034557235421166306,0.0,0.0
aarti,0.8358531317494602,0.4112311015118791,0.07041036717062635,0.004319654427645789,0.0,0.29157667386609076,0.033693304535637146,0.0021598272138228943,0.0,0.0
abaca,0.5710583153347732,0.12483801295896328,0.005615550755939525,0.0,0.0,0.2600431965442765,0.031965442764578834,0.0012958963282937365,0.00043196544276457883,0.0
abaci,0.7304535637149028,0.22807775377969763,0.021598272138228944,0.0008639308855291577,0.0,0.24146868250539957,0.027645788336933045,0.0012958963282937365,0.00043196544276457883,0.0
abacs,0.7114470842332614,0.23023758099352054,0.025917926565874733,0.0008639308855291577,0.0,0.2501079913606911,0.028941684665226782,0.0021598272138228943,0.00043196544276457883,0.0
abaft,0.665658747300216,0.2021598272138229,0.017710583153347732,0.0,0.0,0.28077753779697623,0.03801295896328294,0.006047516198704104,0.0,0.0
abaka,0.5092872570194384,0.08250539956803456,0.0034557235421166306,0.0,0.0,0.2250539956803456,0.02505399568034557,0.0017278617710583153,0.0,0.0
abamp,0.6120950323974081,0.16414686825053995,0.009935205183585313,0.0,0.0,0.2224622030237581,0.027213822894168467,0.004319654427645789,0.0,0.0
aband,0.6747300215982721,0.20518358531317496,0.024622030237580996,0.0008639308855291577,0.0,0.27991360691144707,0.04535637149028078,0.004751619870410367,0.0,0.0
abash,0.6967602591792658,0.2125269978401728,0.028941684665226782,0.00043196544276457883,0.0,0.2816414686825054,0.04362850971922246,0.008207343412526998,0.0008639308855291577,0.0
abask,0.6514038876889849,0.19049676025917928,0.020302375809935207,0.0,0.0,0.27127429805615555,0.047516198704103674,0.0034557235421166306,0.0008639308855291577,0.0
abaya,0.5676025917926566,0.11490280777537798,0.005615550755939525,0.0,0.0,0.2103671706263499,0.017710583153347732,0.0012958963282937365,0.0,0.0
abbas,0.6233261339092873,0.1451403887688985,0.0064794816414686825,0.0,0.0,0.16198704103671707,0.01511879049676026,0.0012958963282937365,0.0,0.0
abbed,0.7740820734341253,0.30021598272138234,0.045356371490280774,0.004319654427645789,0.0,0.24794816414686827,0.02980561555075594,0.0021598272138228943,0.0008639308855291577,0.0
abbes,0.8172786177105832,0.35291576673866093,0.0591792656587473,0.0017278617710583153,0.0,0.2241900647948164,0.018574514038876888,0.0021598272138228943,0.00043196544276457883,0.0
abcee,0.7922246220302376,0.3144708423326134,0.04967602591792657,0.0012958963282937365,0.0,0.37321814254859614,0.03498920086393088,0.004319654427645789,0.0,0.0
abeam,0.7688984881209503,0.2816414686825054,0.04060475161987041,0.0017278617710583153,0.0,0.19913606911447085,0.03153347732181425,0.0021598272138228943,0.0,0.0
abear,0.8138228941684665,0.41511879049676026,0.09028077753779697,0.0064794816414686825,0.0,0.26047516198704107,0.042332613390928725,0.0034557235421166306,0.0,0.0
abele,0.8025917926565874,0.35377969762419004,0.0816414686825054,0.006047516198704104,0.0,0.34125269978401723,0.05010799136069115,0.006047516198704104,0.0,0.0
abers,0.879913606911447,0.5334773218142549,0.16241900647948163,0.016846652267818573,0.0,0.20043196544276456,0.023326133909287255,0.0017278617710583153,0.0,0.0
